"description","temp (min)","temp (max)","clouds (min)","clouds (max)","snow (min)","snow (max)","precip (min)","precip (max)","uv (min)","uv (max)","count"
"Overcast clouds","-73.2","58.7","71.0","100.0","0.0","12.5","0.0","0.5","0.0","11.2","8112938"
"Clear Sky","-78.6","81.0","0.0","1.0","0.0","12.5","0.0","0.5","0.0","11.3","6043266"
"Moderate rain","-4.6","50.3","0.0","100.0","0.0","12.0","4.1","8.0","0.0","10.0","87065"
"Snow","-50.8","2.3","0.0","100.0","16.099999666214","100.0","1.7","12.0","0.0","3.0","10359"
"Scattered clouds","-76.7","76.8","21.0","40.0","0.0","12.5","0.0","0.5","0.0","11.2","1822752"
"Light snow","-75.9","3.7","0.0","100.0","3.5560001134872","37.5","0.508","5.0","0.0","4.6","30052"
"Heavy snow","-24.3","3.8","0.0","100.0","36.399998664856","487.5","4.3","39.0","0.0","1.5","771"
"Broken clouds","-75.9","69.5","41.0","70.0","0.0","12.5","0.0","0.5","0.0","11.2","2588518"
"Few clouds","-76.9","52.7","2.0","20.0","0.0","12.5","0.0","0.5","0.0","11.2","961175"
"Light rain","-5.9","62.6","0.0","100.0","0.0","8.0","0.508","4.0","0.0","10.1","1096212"
"Mix snow/rain","-7.0","3.4","0.0","100.0","1.0160000324249","37.0","0.508","18.5","0.0","4.3","11133"
"Heavy rain","-4.0","45.7","0.0","100.0","0.0","24.0","8.1","292.1","0.0","9.2","28291"
